data,Iphone X,Iphone 8 Plus,Iphone 7,Iphone 7 Plus,Galaxy S8,Galaxy S8 Plus,Galaxy S9,Galaxy S9 Plus,Dolar
2018-12-20,5190.86,4599.0,2591.1,3799.0,2899.0,3799.0,3756.95,3699.0,3.8521
2018-12-21,5099.99,4599.0,2519.1,3869.1,2899.0,3655.18,3799.0,3799.0,3.8965
2018-12-26,5099.99,4599.0,2706.55,3945.78,2859.9,3655.18,3756.95,3599.0,3.9215
2018-12-27,5099.99,4559.05,2706.55,3945.78,2819.0,3655.18,3756.95,3599.0,3.8942
2018-12-28,5099.99,4599.0,2706.55,3945.78,2799.0,3655.18,3634.0,3419.05,3.8757
2018-12-31,5099.99,4599.0,2706.55,3945.78,3139.0,3555.63,3629.0,3419.05,3.8748
2019-01-02,5864.02,4390.09,2899.0,3945.78,3069.0,3655.18,3799.0,3804.0,3.8096
2019-01-03,5731.97,4599.0,2899.0,3945.78,3119.0,3799.0,3599.1,3609.05,3.7539
2019-01-04,5669.1,4599.0,2699.1,3922.885,3139.0,3799.0,3699.0,3609.05,3.7147
2019-01-07,5099.99,4399.9,2609.1,3899.99,3139.0,3799.0,3799.0,3804.0,3.7343
2019-01-08,5599.92,4399.9,2699.0,3521.085,3157.5,3799.0,3799.0,3909.0,3.7155
2019-01-09,5199.0,4384.475,2799.99,3533.07,3176.0,3799.0,3749.45,3799.0,3.6878
2019-01-10,5162.86,4221.13,2736.0,3509.1,3176.0,3799.0,3799.0,3719.07,3.7091
2019-01-11,5099.99,4221.13,2735.52,3563.73,3139.0,3511.36,3749.45,3637.51,3.7145
2019-01-14,5099.99,4399.9,2735.995,3509.1,3176.0,3511.36,3629.0,3499.0,3.6991
2019-01-15,5099.99,4310.515,2735.995,3419.1,3176.0,3511.36,3614.45,3499.0,3.7253
2019-01-16,5099.99,4221.13,2735.99,3410.1,3199.0,3511.36,3199.0,3376.535,3.7342
2019-01-17,5113.355,4399.9,2631.06,3410.1,3104.0,3499.0,3311.975,3499.0,3.7475
2019-01-18,5099.99,4399.945,2736.0,3486.57,3139.0,3499.0,3199.0,3499.0,3.7559
2019-01-21,5199.99,4369.05,2699.0,3486.57,3157.5,3499.0,3199.0,3499.0,3.7587
2019-01-22,5199.99,4399.9,2564.05,3599.1,3199.0,3499.0,3099.0,3489.0,3.8057
2019-01-23,5299.545,4399.945,2879.1,3922.885,3139.0,3549.0,3099.0,3440.07,3.7633
2019-01-24,5199.99,4479.52,2879.1,3899.99,3129.0,3549.0,3199.0,3499.0,3.7719
2019-01-28,5299.545,4221.13,2599.0,3599.1,3358.58,3549.0,3060.05,3299.0,3.7655
2019-01-29,5199.99,4459.81,2549.0,3509.1,3358.58,3549.0,3099.0,3254.07,3.7225
2019-01-30,5199.99,4459.81,2429.1,3509.1,3463.75,3549.0,3099.0,3410.025,3.7246
2019-01-31,5199.99,4782.96,2429.1,3509.1,3463.75,3549.0,3211.525,3376.72,3.6588
2019-02-01,5199.99,4221.13,2514.05,3599.1,3463.75,3549.0,3211.525,3462.805,3.6622
2019-02-04,5177.77,4392.41,2789.05,3799.0,3301.375,3549.0,3099.0,3421.165,3.6728
2019-02-05,5171.18,4449.545,2749.495,3519.12,3217.9,3499.0,2949.05,3354.56,3.6664
2019-02-06,5142.37,4369.05,2839.545,3419.1,3389.23,3499.0,3399.0,3354.56,3.7065
2019-02-07,5130.75,4390.535,2659.05,3419.1,3399.0,3499.0,3474.45,3354.56,3.7108
2019-02-08,5199.99,4369.93,2659.05,3419.1,3217.9,3499.0,3099.0,3219.0,3.734
2019-02-11,5199.99,4384.915,2659.05,3419.1,3463.75,3549.0,3599.0,3068.07,3.7629
2019-02-12,5199.99,4221.13,2599.0,3509.1,3463.75,3549.0,3599.0,3102.9,3.7137
2019-02-13,5184.365,4221.13,2469.05,3509.1,3463.75,3549.0,3599.0,3068.07,3.7527
